LE;2844435817;Juan;Sánchez;juan.sánchez@example.com;08/01/2018;DINERO;8029
DNI;9931816;Pedro;López;pedro.lópez@example.com;28/07/1970;ENTREGA_TARJETAS;9188
DNI;0951129826;Ana;García;ana.garcía@example.com;25/11/1985;ENTREGA_TARJETAS;611391
LC;409409;Lucía;Martínez;lucía.martínez@example.com;18/11/2001;DONACION_VIANDAS;6056518
LC;88387158;Carlos;García;carlos.garcía@example.com;15/04/2009;DONACION_VIANDAS;44722
DNI;231469804;Carlos;García;carlos.garcía@example.com;26/03/1972;DONACION_VIANDAS;007
DNI;864896;Lucía;Fernández;lucía.fernández@example.com;12/07/2019;ENTREGA_TARJETAS;5
DNI;1874538408;Carlos;García;carlos.garcía@example.com;16/08/1995;DONACION_VIANDAS;082838
LC;947855412;Lucía;Gómez;lucía.gómez@example.com;02/10/2005;ENTREGA_TARJETAS;2923712
DNI;412507074;Luis;Martínez;luis.martínez@example.com;19/11/1975;DONACION_VIANDAS;2062
LC;365201;Luis;López;luis.lópez@example.com;28/12/1950;DINERO;23991
DNI;9628771;María;Gómez;maría.gómez@example.com;13/05/2012;DINERO;206931
LC;7314756;Pedro;Rodríguez;pedro.rodríguez@example.com;06/09/1976;DONACION_VIANDAS;916
LC;505588964;Pedro;García;pedro.garcía@example.com;22/09/1965;DINERO;3
LC;405533;Juan;Martínez;juan.martínez@example.com;10/04/2017;ENTREGA_TARJETAS;954966
DNI;8436889;Juan;Pérez;juan.pérez@example.com;19/03/2021;DONACION_VIANDAS;54
LE;3700798393;Ana;García;ana.garcía@example.com;02/10/1974;DONACION_VIANDAS;67674
LE;160154025;Pedro;López;pedro.lópez@example.com;03/09/1972;ENTREGA_TARJETAS;6214
LE;392247;María;Rodríguez;maría.rodríguez@example.com;08/08/1958;DINERO;81
LE;5666541350;Carlos;López;carlos.lópez@example.com;18/02/1954;REDISTRIBUCION_VIANDAS;978
LE;3411450543;Lucía;García;lucía.garcía@example.com;28/08/1964;REDISTRIBUCION_VIANDAS;268
LE;63730498;Ana;Fernández;ana.fernández@example.com;24/09/1988;DONACION_VIANDAS;25
LC;86050064;Ana;Sánchez;ana.sánchez@example.com;06/12/1991;REDISTRIBUCION_VIANDAS;275
LE;942663750;Carlos;Rodríguez;carlos.rodríguez@example.com;17/09/2018;ENTREGA_TARJETAS;178135
DNI;05599640;Pedro;Martínez;pedro.martínez@example.com;24/04/1956;REDISTRIBUCION_VIANDAS;069759
DNI;74147012;Juan;García;juan.garcía@example.com;21/10/1978;REDISTRIBUCION_VIANDAS;56
LC;4353637244;Ana;Martínez;ana.martínez@example.com;17/08/1992;DONACION_VIANDAS;7971261
LC;0802363443;Pedro;López;pedro.lópez@example.com;01/10/1978;DINERO;51
DNI;59520726;Juan;Pérez;juan.pérez@example.com;06/07/2003;REDISTRIBUCION_VIANDAS;012678
LE;41581617;María;Sánchez;maría.sánchez@example.com;27/06/2003;ENTREGA_TARJETAS;498
