LE;02392562;Ana;García;matiascanevaro@hotmail.com;09/06/2014;DONACION_VIANDAS;52893
LC;262008655;Carlos;Sánchez;maticanevaro@gmail.com;28/03/2004;ENTREGA_TARJETAS;67015
DNI;00712794;Luis;Gómez;florenciazanoni1@gmail.com;23/03/2006;REDISTRIBUCION_VIANDAS;8128
DNI;50037748;Ana;Gómez;mgaraventa@frba.utn.edu.ar;23/07/1952;DONACION_VIANDAS;7
LE;777439450;Carlos;Sánchez;maticanevaro@gmail.com;05/05/1974;DONACION_VIANDAS;35414
LE;02392562;Ana;García;matiascanevaro@hotmail.com;12/01/1953;DINERO;5207
LC;262008655;Carlos;Sánchez;maticanevaro@gmail.com;11/12/1957;DONACION_VIANDAS;89
DNI;00712794;Luis;Gómez;florenciazanoni1@gmail.com;23/05/1985;ENTREGA_TARJETAS;800500
DNI;50037748;Ana;Gómez;mgaraventa@frba.utn.edu.ar;12/06/1981;REDISTRIBUCION_VIANDAS;8722
LE;777439450;Carlos;Sánchez;maticanevaro@gmail.com;06/12/1997;DONACION_VIANDAS;2442
LE;02392562;Ana;García;matiascanevaro@hotmail.com;06/05/2023;REDISTRIBUCION_VIANDAS;55690
LC;262008655;Carlos;Sánchez;maticanevaro@gmail.com;06/09/1960;DINERO;853
DNI;00712794;Luis;Gómez;florenciazanoni1@gmail.com;03/10/1957;DINERO;6732673
DNI;50037748;Ana;Gómez;mgaraventa@frba.utn.edu.ar;19/06/2023;ENTREGA_TARJETAS;6044
LE;777439450;Carlos;Sánchez;maticanevaro@gmail.com;12/02/2016;REDISTRIBUCION_VIANDAS;9103
LE;02392562;Ana;García;matiascanevaro@hotmail.com;24/12/1956;DINERO;5
LC;262008655;Carlos;Sánchez;maticanevaro@gmail.com;02/06/2004;REDISTRIBUCION_VIANDAS;00
DNI;00712794;Luis;Gómez;florenciazanoni1@gmail.com;27/04/1964;ENTREGA_TARJETAS;9087986
DNI;50037748;Ana;Gómez;mgaraventa@frba.utn.edu.ar;24/01/1989;REDISTRIBUCION_VIANDAS;575450
LE;777439450;Carlos;Sánchez;maticanevaro@gmail.com;05/04/1958;DONACION_VIANDAS;60563
LE;02392562;Ana;García;matiascanevaro@hotmail.com;14/08/1958;ENTREGA_TARJETAS;81459
LC;262008655;Carlos;Sánchez;maticanevaro@gmail.com;10/10/2001;DONACION_VIANDAS;46416
DNI;00712794;Luis;Gómez;florenciazanoni1@gmail.com;13/07/1976;REDISTRIBUCION_VIANDAS;128309
DNI;50037748;Ana;Gómez;mgaraventa@frba.utn.edu.ar;27/07/1981;REDISTRIBUCION_VIANDAS;65076
LE;777439450;Carlos;Sánchez;maticanevaro@gmail.com;13/08/2014;ENTREGA_TARJETAS;493
LE;02392562;Ana;García;matiascanevaro@hotmail.com;09/10/1991;REDISTRIBUCION_VIANDAS;539
LC;262008655;Carlos;Sánchez;maticanevaro@gmail.com;21/05/1976;ENTREGA_TARJETAS;4355
DNI;00712794;Luis;Gómez;florenciazanoni1@gmail.com;22/06/1950;ENTREGA_TARJETAS;94887
DNI;50037748;Ana;Gómez;mgaraventa@frba.utn.edu.ar;23/02/2001;DONACION_VIANDAS;11105
LE;777439450;Carlos;Sánchez;maticanevaro@gmail.com;25/11/1988;DINERO;9
LE;02392562;Ana;García;matiascanevaro@hotmail.com;20/05/1975;DONACION_VIANDAS;9356876
LC;262008655;Carlos;Sánchez;maticanevaro@gmail.com;03/10/1990;DINERO;9253645
DNI;00712794;Luis;Gómez;florenciazanoni1@gmail.com;27/09/1997;DINERO;1222078
DNI;50037748;Ana;Gómez;mgaraventa@frba.utn.edu.ar;02/04/1987;ENTREGA_TARJETAS;53
LE;777439450;Carlos;Sánchez;maticanevaro@gmail.com;27/11/2011;DONACION_VIANDAS;7
LE;02392562;Ana;García;matiascanevaro@hotmail.com;10/03/1970;DINERO;538459
LC;262008655;Carlos;Sánchez;maticanevaro@gmail.com;27/12/2018;DINERO;766
DNI;00712794;Luis;Gómez;florenciazanoni1@gmail.com;10/02/1995;ENTREGA_TARJETAS;361007
DNI;50037748;Ana;Gómez;mgaraventa@frba.utn.edu.ar;02/10/2007;ENTREGA_TARJETAS;146459
LE;777439450;Carlos;Sánchez;maticanevaro@gmail.com;17/10/2018;DINERO;380568
LE;02392562;Ana;García;matiascanevaro@hotmail.com;24/06/2010;DINERO;5109224
LC;262008655;Carlos;Sánchez;maticanevaro@gmail.com;25/10/1987;ENTREGA_TARJETAS;5330
DNI;00712794;Luis;Gómez;florenciazanoni1@gmail.com;01/09/2022;DINERO;011040
DNI;50037748;Ana;Gómez;mgaraventa@frba.utn.edu.ar;27/07/1990;ENTREGA_TARJETAS;44216
LE;777439450;Carlos;Sánchez;maticanevaro@gmail.com;09/12/1979;DONACION_VIANDAS;0084
LE;02392562;Ana;García;matiascanevaro@hotmail.com;05/05/1958;REDISTRIBUCION_VIANDAS;1447763
LC;262008655;Carlos;Sánchez;maticanevaro@gmail.com;14/02/2003;DINERO;30442
DNI;00712794;Luis;Gómez;florenciazanoni1@gmail.com;10/06/1979;REDISTRIBUCION_VIANDAS;358
